TOPICS,TITLE,RESOURCES,PYTHON SETUP,https://youtu.be/W-Bi6AjEQfM
1,Basic data types + operators,https://youtu.be/PTTd1jKx8_o?si=tA21SbK_jTjmfDGU,,
2,Loops & if-else,https://youtu.be/zv3MVNy3I4E?si=nKs52v1BNBrte_0S,,
3,Data Structures,"List - https://youtu.be/N55AxhC6REU?si=CECji4YcidL9-jKF Set, tuple, dictionary - https://youtu.be/I0n6ABPSyQs?si=8-twgHjj6RsxqftY",PYTHON INTERVIEW QUESTIONS,https://www.hackerrank.com/blog/python-interview-questions-developers-should-know/
4,Functions,https://youtu.be/kY3DdsBs6Wk?si=C7bnaZQgUe1nWsYG,,https://www.hackerrank.com/domains/python/py-introduction/difficulty/all/page/1
5,File Handling,https://youtu.be/-XQdyy8chuo?si=Xyx8q7Zp-HNkuv5k,,https://www.hackerearth.com/practice/problems/?limit=20&offset=0
6,Numpy,https://youtu.be/y1cpttvUbtY?si=TBpY9oTGN3wlzdBP,,
7,Pandas,https://youtu.be/3hTOHzo4Jf8?si=xJ0yeiWcmvERS-s0,,
8,Data Visualization,Matplotlib - https://youtu.be/jv_2CXx630M?si=ZHmdwJaW6VKuQP_t Seaborn  - https://youtu.be/2bLESc8KOgw?si=DU4c6mk4YNVs1xY9,,
9,OOPS,https://youtu.be/R9Yia3aUooI?si=guDjGPbIX5ls_XDC,,
10,Multi-threading/ Multi-processing,https://youtu.be/rDro-he___Q?si=OWQ8RjG7cKdR-dGt,,
