TOPICS,TITLE,RESOURCES,,
1,"Mean, Median, Mode",https://youtu.be/YAOoKUT74TI?si=XduHNQ2gx4y-1SqR,,
2,Percentiles & Quartiles,https://youtu.be/SZ07hyMEOAU?si=czwNHDuw8TuSwYEn,,
3,"Range, Variance & Standard deviation",https://youtu.be/ovq5InIpF2U?si=l5Y584KUvgv1-tjM,,
4,Normalization & Standardisation,https://youtu.be/POrcNP2Zhc8?si=L37k0JmyMa8nJGPb,,QUIZES
5,Covariance ,https://youtu.be/qtaqvPAeEJY?si=fkuLI8pSdPddFgHE,,Statistics and Probability | Khan Academy
6,Correlation,https://youtu.be/xZ_z8KWkhXE?si=JE-SclbDz8h_ksdd,,https://www.geeksforgeeks.org/quizzes/statistics-quiz-trivia-mcq-questions-solution/
7,Hypothesis testing,https://youtu.be/fb8BSFr0isg?si=mhw0Q2PdDDx_f1dh,,
8,P value & hypothesis testing,https://youtu.be/xdZSWsKk5P0?si=xHfAzJtdM2HaKAnt,,
9,z test ,https://youtu.be/kNKyhEuqszs?si=mYc8X1EZviIAtHJD,,
10,chi square test,https://youtu.be/jABsbNBPXIk?si=T-T4G7bNG_2s4BDR,,
11,ANNOVA,https://youtu.be/0NwA9xxxtHw?si=2pXSo-59Gqe-rhbu,,
